web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1707688378-1","https://www.expat-dakar.com/appartements-a-louer?page=10","2 CHAMBRES A LOUER NGOR-ALMADIES
2 chambre100 m²
Ngor,
Dakar

mardi, 11:39

500 000 F Cfa

785393382

775452867","https://www.expat-dakar.com/annonce/2-chambres-a-louer-ngor-almadies-5936469","2 CHAMBRES A LOUER NGOR-ALMADIES","2","2","Niveaux disponibles : 1er, 3ème, 4ème étage.","Ngor","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/87a3b09cb7417e13d396d5586ff0588e/-/horizon-files-prod/ed/picture/q0gw8zdz/27bb8ab813a81c0bfc835a35cd4ffcf5c8924f17.jpg"
"1707688381-2","https://www.expat-dakar.com/appartements-a-louer?page=10","Appartement meublé F4 à louer au virage
3 chambre150 m²
Virage,
Dakar

mardi, 16:20

1 200 000 F Cfa

773519884","https://www.expat-dakar.com/annonce/appartement-meuble-f4-a-louer-au-virage-5870063","Appartement meublé F4 à louer au virage","3","3","","Virage","Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2941a84104ddeed5ad151d51f1492249/-/horizon-files-prod/ed/picture/q56x69p6/85e710d7797ba8d67396da79b0cc799e672e44b1.jpg"
"1707688383-3","https://www.expat-dakar.com/appartements-a-louer?page=10","Allmadies zone de recasment
2 chambre190 m²
Almadies,
Dakar

mardi, 12:21

Vendeur vérifié

350 000 F Cfa

781156032","https://www.expat-dakar.com/annonce/allmadies-zone-de-recasment-5991697","Allmadies zone de recasment","2","3","","Almadies","Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9551092fbf97031a94119cd16d4618d3/-/horizon-files-prod/ed/picture/q448q9mz/399612bb0340776b092c840feb2665694d7e8db9.jpg"
"1707688386-4","https://www.expat-dakar.com/appartements-a-louer?page=10","Allmadies zone de recasment
1 chambre150 m²
Almadies,
Dakar

mardi, 12:22

Vendeur vérifié

260 000 F Cfa

781156032","https://www.expat-dakar.com/annonce/allmadies-zone-de-recasment-5991694","Allmadies zone de recasment","1","2","","Almadies","Dakar","260 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8ed72ea9ae2455d12ab427e2dff0295/-/horizon-files-prod/ed/picture/qwe25x86/39d43c2169ab2932505ee323eec15c214ca498c4.jpg"
"1707688388-5","https://www.expat-dakar.com/appartements-a-louer?page=10","Duplex à louer almadies
3 chambre250 m²
Almadies,
Dakar

mardi, 12:33

1 800 000 F Cfa

775597743","https://www.expat-dakar.com/annonce/duplex-a-louer-almadies-5995824","Duplex à louer almadies","3","5","","Almadies","Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3208c67ba2f74b9a4893d3af9d14c02b/-/horizon-files-prod/ed/picture/qv4e0p4x/bbae97d30285e37b5630e9009a86993e90f6bf36.jpg"
"1707688390-6","https://www.expat-dakar.com/appartements-a-louer?page=10","Appartement standing à Ouakam. Non loin du Monument
2 chambre
Mamelles,
Dakar

mardi, 12:35

280 000 F Cfa

778727979

766377247

772699661","https://www.expat-dakar.com/annonce/appartement-standing-a-ouakam-non-loin-du-monument-5998029","Appartement standing à Ouakam. Non loin du Monument","2","3","","Mamelles","Dakar","280 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/490950ca843d2eeec2a7bfa079a9a5ca/-/horizon-files-prod/ed/picture/qq47k9kn/c3f1b607a483b0b9f40965bbd6230d8e5fcbdb83.jpg"
"1707688393-7","https://www.expat-dakar.com/appartements-a-louer?page=10","Appartement à louer à Virage
3 chambre200 m²
Virage,
Dakar

mardi, 12:37

1 500 000 F Cfa

775597743","https://www.expat-dakar.com/annonce/appartement-a-louer-a-virage-2725272","Appartement à louer à Virage","3","5","","Virage","Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e17080e46f1f5ff07b6327d753a3f346/-/horizon-files-prod/ed/picture/migrated/q8pn7w6/8991891d0653831f9b29a418a9459ea7473e3708.jpg"
"1707688395-8","https://www.expat-dakar.com/appartements-a-louer?page=10","Appartement neuf à louer almadies
100 m²
Almadies,
Dakar

mardi, 12:38

550 000 F Cfa

775597743","https://www.expat-dakar.com/annonce/appartement-neuf-a-louer-almadies-5992890","Appartement neuf à louer almadies","","3","","Almadies","Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e0545666d25e52caf134c321d2d06c9/-/horizon-files-prod/ed/picture/qv4e58mp/852fa3e0709c524cb38e33b8fa30dcfa528b803c.jpg"
"1707688398-9","https://www.expat-dakar.com/appartements-a-louer?page=10","Appartement à louer vdn 1 ère position
4 chambre
Sacré-cœur,
Dakar

mardi, 12:39

650 000 F Cfa

777457269","https://www.expat-dakar.com/annonce/appartement-a-louer-vdn-1-ere-position-5895931","Appartement à louer vdn 1 ère position","4","","","Sacré-cœur","Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2358a11e8a6de684bd561ce1b3c02518/-/horizon-files-prod/ed/picture/q44889wz/207d280dd936bd35e3bcee5de39975c6406e71a8.jpg"
"1707688400-10","https://www.expat-dakar.com/appartements-a-louer?page=10","MINI-STUDIO A LOUER
1 chambre
Ouest foire,
Dakar

mardi, 12:42

120 000 F Cfa

777457269","https://www.expat-dakar.com/annonce/mini-studio-a-louer-5890062","MINI-STUDIO A LOUER","1","2","","Ouest foire","Dakar","120 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3dd7b82a4c063e889b1a1cb4ea4933a/-/horizon-files-prod/ed/picture/qdekkkjw/2e0f8c4a1af16e5facfdcdb6d159381840b25afe.png"
"1707688403-11","https://www.expat-dakar.com/appartements-a-louer?page=10","VIP

Appartements KALIA - Zone de captage
3 chambre100 m²
Zone de captage,
Dakar

mercredi, 08:30

450 000 F Cfa

771965618","https://www.expat-dakar.com/annonce/appartements-kalia-zone-de-captage-5456686","Appartements KALIA - Zone de captage","3","2","Immeuble neuf construit par KALIA :","Zone de captage","Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8fe73aa8ca079300f3aef41d8fdab01/-/horizon-files-prod/ed/picture/qenn92qv/7b12e121b282de642466c98eda5d0022dd12a1ff.jpg"
"1707688408-12","https://www.expat-dakar.com/appartements-a-louer?page=9","Appartements à louer à la cité Aquanique Yoff Virage
4 chambre
Yoff,
Dakar

mardi, 13:55

1 500 000 F Cfa

774586048","https://www.expat-dakar.com/annonce/appartements-a-louer-a-la-cite-aquanique-yoff-virage-5951016","Appartements à louer à la cité Aquanique Yoff Virage","4","","","Yoff","Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f9240e8b901df010660836fe2a2fbdc/-/horizon-files-prod/ed/picture/qpd6jz24/b489a8ec21ec56b850e485d799ee97823cbe0623.jpg"
"1707688411-13","https://www.expat-dakar.com/appartements-a-louer?page=9","Studio neuf à louer sud foire
1 chambre80 m²
Sud foire,
Dakar

mardi, 15:54

200 000 F Cfa

776576626

772317210

779242728","https://www.expat-dakar.com/annonce/studio-neuf-a-louer-sud-foire-5990563","Studio neuf à louer sud foire","1","1","","Sud foire","Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9130c3168d298320a4a37e0366689878/-/horizon-files-prod/ed/picture/q56x82dr/a8fe5b431bf4128a5f604716d90bdd5c26a0e302.jpg"
"1707688413-14","https://www.expat-dakar.com/appartements-a-louer?page=9","APPARTEMENT AUX ALMADIES
2 chambre
Almadies,
Dakar

mardi, 16:43

325 000 F Cfa

773752863

771059344","https://www.expat-dakar.com/annonce/appartement-aux-almadies-5998259","APPARTEMENT AUX ALMADIES","2","2","Nous mettons en location un appartement aux Almadies derrière Philippe Morris dans la zone de Recasement composé de 2 chambres salon cuisine placards espace familiale 1 salle de bain toilette visiteur balcon gardiennage au Premier étage à 325.000 FCFA","Almadies","Dakar","325 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/62d347bdb2868bcd3a7e464301b3613a/-/horizon-files-prod/ed/picture/qj4rd5jr/11dde7e3bcd7d1f1e21b228682f7f6c7f66a8df0.jpg"
