web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1707690297-34","https://www.expat-dakar.com/appartements-meubles?page=7","Studio meuble a louer Mermor Batrin
1 chambre
Mermoz,
Dakar

jeudi, 13:12

20 000 F Cfa

783832997

783809758","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-mermor-batrin-5800697","Studio meuble a louer Mermor Batrin","1","1","","Mermoz","Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d460c6400a8ecf68f38243b4be44ba3e/-/horizon-files-prod/ed/picture/q44dggx4/91e6834e950a28389455c6ea2c8d8901b57cadad.jpg"
"1707690300-35","https://www.expat-dakar.com/appartements-meubles?page=7","Studio chambre salon Grand Standing
150 m²
Almadies,
Dakar

jeudi, 13:16

30 000 F Cfa

777108923","https://www.expat-dakar.com/annonce/studio-chambre-salon-grand-standing-5232209","Studio chambre salon Grand Standing","","1","150 m²","Almadies","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/33270e4d0169c5fea4389ceeb9d21560/-/horizon-files-prod/ed/picture/q44jr6r9/59e6e75dd236526b45383135b21d0fc6b035328b.jpg"
"1707690302-1","https://www.expat-dakar.com/appartements-meubles?page=98","Appartement meublé à louer à Ouest Foire
2 chambre
Yoff,
Dakar

25. déc. '23, 11:32

15 000 F Cfa

773642155","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-ouest-foire-2727402","Appartement meublé à louer à Ouest Foire","2","","","Yoff","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a468ae67bfae9264b454a000d3abad79/-/horizon-files-prod/ed/picture/migrated/q8p9w57/2e47f05810ac348053ccb43b4b2d113246abffc2.jpg"
"1707690304-2","https://www.expat-dakar.com/appartements-meubles?page=98","Chambre meublée
1 chambre18 m²
Yoff,
Dakar

25. déc. '23, 11:32

12 000 F Cfa

773642155","https://www.expat-dakar.com/annonce/chambre-meublee-3174062","Chambre meublée","1","1","18 m²","Yoff","Dakar","12 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5fe37c97e34541ee208071d95aba8977/-/horizon-files-prod/ed/picture/qdzjexj/c1a599aa6812f600bc350b54cbc2f20802a2e0c5.jpg"
"1707690304-36","https://www.expat-dakar.com/appartements-meubles?page=7","Studio meublé spacieux Climatisé Almadie
1 chambre4 m²
Almadies,
Dakar

jeudi, 13:16

30 000 F Cfa

777108923","https://www.expat-dakar.com/annonce/studio-meuble-spacieux-climatise-almadie-5070643","Studio meublé spacieux Climatisé Almadie","1","1","4 m²","Almadies","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc3d3795ec29d13298eafc8cb6a2145a/-/horizon-files-prod/ed/picture/qzgwp69/bf173739afed4be301d7c3e5b79a4568952eebb8.jpg"
"1707690307-3","https://www.expat-dakar.com/appartements-meubles?page=98","Appartements meublés de luxe à Thiès
2 chambre250 m²
Thiès,
Thiès

vendredi, 11:34

35 000 F Cfa

778507459

778507459

781159213","https://www.expat-dakar.com/annonce/appartements-meubles-de-luxe-a-thies-3613453","Appartements meublés de luxe à Thiès","2","3","250 m²","Thiès","Thiès","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c9f3f286d90bb50bde983554f7968ff/-/horizon-files-prod/ed/picture/q49prvz/ce0fc57ccb3a5932092ad3dad337b3281ed6e556.jpg"
"1707690307-37","https://www.expat-dakar.com/appartements-meubles?page=7","Mini studio américain Spacieux Almadie
4 m²
Almadies,
Dakar

jeudi, 13:16

15 000 F Cfa

777108923","https://www.expat-dakar.com/annonce/mini-studio-americain-spacieux-almadie-4930254","Mini studio américain Spacieux Almadie","","1","4 m²","Almadies","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c0479ce669cb1f04bb3bd65c869c72dc/-/horizon-files-prod/ed/picture/qrdz255/d6aba79cff059d396eef846fa95c4c6622a46a0a.jpg"
"1707690309-4","https://www.expat-dakar.com/appartements-meubles?page=98","Appartement à louer sur la corniche
3 chambre
Mermoz,
Dakar

jeudi, 00:09

1 F Cfa

779811919

338252230

704500101","https://www.expat-dakar.com/annonce/appartement-a-louer-sur-la-corniche-2724905","Appartement à louer sur la corniche","3","","","Mermoz","Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a73d21497b777252ede371cbc8aa127/-/horizon-files-prod/ed/picture/migrated/qgm0r2m/a1578fa9c562f0fc45dec61ae36d41828f9ae2ef.jpg"
"1707690310-38","https://www.expat-dakar.com/appartements-meubles?page=7","Beau Studio Meublé Ngor-Almadies
140 m²
Almadies,
Dakar

jeudi, 13:32

25 000 F Cfa

784574920","https://www.expat-dakar.com/annonce/beau-studio-meuble-ngor-almadies-5824325","Beau Studio Meublé Ngor-Almadies","","2","140 m²","Almadies","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff8a8b86a47fcd5eeca2ad908f51afa2/-/horizon-files-prod/ed/picture/q0g2rm4g/fe5568f4bf8b78c662e69e14918c13d5bafe228f.jpg"
"1707690312-5","https://www.expat-dakar.com/appartements-meubles?page=98","VIP

Appartement meublé à louer à Hann Maristes
1 chambre
Hann Bel-Air,
Dakar

5. janv., 11:25

20 000 F Cfa

783079494

776220307

771803231","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-hann-maristes-2724604","Appartement meublé à louer à Hann Maristes","1","","","Hann Bel-Air","Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9bb07701e9c84aaab6125e65fb2ed8b7/-/horizon-files-prod/ed/picture/migrated/q7pm85g/f43b5359f9aeccc3949debf93855eadd9a2abf02.jpg"
