web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,superficie,adresse,ville,prix,image_link-src
"1707691142-1","https://www.expat-dakar.com/terrains-a-vendre?page=10","terrain titre foncier 300 m2a NDIAKHIRATE
300 m²
Ndiakhirate,
Dakar

jeudi, 13:36

32 000 000 F Cfa

776824862","https://www.expat-dakar.com/annonce/terrain-titre-foncier-300-m2a-ndiakhirate-5967576","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-2","https://www.expat-dakar.com/terrains-a-vendre?page=10","Terrains à vendre pres de l'aéroport AIBD

Diass,
Thiès

jeudi, 11:24

4 000 000 F Cfa

763806565

774671061

779333547","https://www.expat-dakar.com/annonce/terrains-a-vendre-pres-de-laeroport-aibd-5994924","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-3","https://www.expat-dakar.com/terrains-a-vendre?page=10","Terrain à vendre route de rufisque
150 m²
Thiaroye,
Dakar

jeudi, 09:55

37 000 000 F Cfa

770107474

775847575

778785858","https://www.expat-dakar.com/annonce/terrain-a-vendre-route-de-rufisque-5994827","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-4","https://www.expat-dakar.com/terrains-a-vendre?page=10","Terrain de 150m2 à vendre à Tivaoune peulh
150 m²
Tivaouane peulh,
Dakar

jeudi, 09:48

17 000 000 F Cfa

770107474

775847575

778785858","https://www.expat-dakar.com/annonce/terrain-de-150m2-a-vendre-a-tivaoune-peulh-5994818","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-5","https://www.expat-dakar.com/terrains-a-vendre?page=10","Terrain à Nguerigne Serere
1,500 m²
Nguering,
Thiès

jeudi, 07:01

1 F Cfa

774486040

771320710","https://www.expat-dakar.com/annonce/terrain-a-nguerigne-serere-5994405","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-6","https://www.expat-dakar.com/terrains-a-vendre?page=10","Lots de Terrains a la Cité Apix de tivaouane peulh
150 m²
Tivaouane peulh,
Dakar

jeudi, 07:21

30 000 000 F Cfa

777247735

772488787

783380606","https://www.expat-dakar.com/annonce/lots-de-terrains-a-la-cite-apix-de-tivaouane-peulh-5906605","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-7","https://www.expat-dakar.com/terrains-a-vendre?page=10","Villa de 238m2 à démolir sicap karack
238 m²
Karack,
Dakar

mercredi, 22:47

135 000 000 F Cfa

774357705

774357705

774357705","https://www.expat-dakar.com/annonce/villa-de-238m2-a-demolir-sicap-karack-2727446","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-8","https://www.expat-dakar.com/terrains-a-vendre?page=10","Terrain à vendre Niakoul Rap
150 m²
Niakoul rap,
Dakar

mercredi, 19:07

9 000 000 F Cfa

785445454

785445353","https://www.expat-dakar.com/annonce/terrain-a-vendre-niakoul-rap-5072517","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-9","https://www.expat-dakar.com/terrains-a-vendre?page=10","TERRAIN PIEDS DANS L'EAU À GUEREO
2,905 m²
Guereo,
Thiès

mercredi, 17:31

Vendeur vérifié

170 000 000 F Cfa

772293834

769023031","https://www.expat-dakar.com/annonce/terrain-pieds-dans-leau-a-guereo-5983956","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691142-10","https://www.expat-dakar.com/terrains-a-vendre?page=10","Terrains à vendre à NDIKHIRATE
150 m²
Ndiakhirate,
Dakar

lundi, 16:29

16 000 000 F Cfa

782748263

338948189","https://www.expat-dakar.com/annonce/terrains-a-vendre-a-ndikhirate-5992714","Page 10 résultats pour Terrains à vendre - Sénégal","","","","32 000 000 F Cfa",""
"1707691145-11","https://www.expat-dakar.com/terrains-a-vendre?page=9","Terrain 400m² bail à vendre à Saly (Golf)
400 m²
Mbour,
Thiès

vendredi, 10:28

Vendeur vérifié

35 000 000 F Cfa

707179327

775171724","https://www.expat-dakar.com/annonce/terrain-400m2-bail-a-vendre-a-saly-golf-5970520","Page 9 résultats pour Terrains à vendre - Sénégal","","","","35 000 000 F Cfa",""
